C1=CC=C(C=C1)C(CN)O	[Compound(1000)]	2-amino-1-phenylethanol
C[Se]C[C@H](C(=O)[O-])N	[Compound(44224052)]	(2S)-2-amino-3-methylselanylpropanoate
C[C@]1(C[C@@H]([C@H]2[C@H]1C[C@H]3[C@@H](CC2=C)OC(=O)C3=C)O)O	[Compound(442243)]	(3aR,5aS,6S,8R,8aR,9aR)-6,8-dihydroxy-8-methyl-1,5-dimethylidene-3a,4,5a,6,7,8a,9,9a-octahydroazuleno[6,5-b]furan-2-one
COC1=C(C=C(C=C1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)[C@@H]3CCC4=C(O3)C=C(C=C4)O)O	[Compound(442260)]	(2S,3R,4S,5S,6R)-2-[3-hydroxy-5-[(2S)-7-hydroxy-3,4-dihydro-2H-chromen-2-yl]-2-methoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol
COC1=CC=CC=C1[C@@H]2CC(=O)C3=C(C4=C(C=C3O2)OCO4)OC	[Compound(442261)]	(6S)-9-methoxy-6-(2-methoxyphenyl)-6,7-dihydro-[1,3]dioxolo[4,5-g]chromen-8-one
COC1=CC=C(C=C1)[C@@H]2CCC3=C(O2)C=C(C=C3)O	[Compound(442277)]	(2S)-2-(4-methoxyphenyl)-3,4-dihydro-2H-chromen-7-ol
C[C@@]12CC[C@@H]3[C@@H]([C@@H]4[C@](O4)(CC[C@H]1O2)C)OC(=O)C3=C	[Compound(442278)]	(1S,2R,4R,7R,9R,12S)-4,9-dimethyl-13-methylidene-3,8,15-trioxatetracyclo[10.3.0.02,4.07,9]pentadecan-14-one
CC(=CCC1=C(C=CC(=C1)CCCC2=C(C=C(C=C2)O)O)O)C	[Compound(442289)]	4-[3-[4-hydroxy-3-(3-methylbut-2-enyl)phenyl]propyl]benzene-1,3-diol
CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)O[C@H]1[C@@H]([C@H]([C@H](CO1)N)O)O)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C	[Compound(44229076)]	[(2S,3R,4S,5S)-5-amino-3,4-dihydroxyoxan-2-yl] [(2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E,38E)-3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenyl] hydrogen phosphate
C([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)C(=O)C(=O)[O-]	[Compound(44229082)]	(4S,5R)-4,5-dihydroxy-2-oxo-6-phosphonatooxyhexanoate
CC(=O)N[C@@H]1[C@H]([C@H]([C@H](OC1O)COP(=O)([O-])[O-])O)O	[Compound(44229083)]	[(2R,3R,4R,5R)-5-acetamido-3,4,6-trihydroxyoxan-2-yl]methyl phosphate
C(CS(=O)[O-])[NH+]=C(N)N	[Compound(44229097)]	2-(diaminomethylideneazaniumyl)ethanesulfinate
C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OC3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O	[Compound(44229134)]	[[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl] [(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] phosphate
CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])[C@H](C(=O)NCCC(=O)NCCSC(=O)/C=C/C4=CC(=C(C=C4)O)OC)O	[Compound(44229137)]	[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-2-[[[[(3R)-3-hydroxy-4-[[3-[2-[(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoyl]sulfanylethylamino]-3-oxopropyl]amino]-2,2-dimethyl-4-oxobutoxy]-oxidophosphoryl]oxy-oxidophosphoryl]oxymethyl]oxolan-3-yl] phosphate
C([C@@H]([C@H]([C@H]([C@@H](C(=O)[O-])O)O)O)O)O	[Compound(44229140)]	(2S,3R,4R,5S)-2,3,4,5,6-pentahydroxyhexanoate
CSCCC(=O)/C(=C/[O-])/O	[Compound(44229177)]	(Z)-2-hydroxy-5-methylsulfanyl-3-oxopent-1-en-1-olate
CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)([O-])OC1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C	[Compound(44229190)]	[(3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] [(2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E,38E)-3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenyl] phosphate
CC1=CC2=C(C=C1C)N(C3=NC(=NC(=O)C3=N2)[O-])C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O	[Compound(44229199)]	[(2R,3S,4S)-5-(7,8-dimethyl-2-oxido-4-oxobenzo[g]pteridin-10-yl)-2,3,4-trihydroxypentyl] phosphate
C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@@H]([C@@H]([C@@H](O[C@@H]2C(=O)[O-])O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)NC(=O)C)OP(=O)([O-])OP(=O)([O-])OC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)CO)NC(=O)C)O)O)O)NC(=O)C	[Compound(44229215)]	(2S,3S,4R,5S,6R)-5-acetamido-3-[(2R,3R,4S,5R,6R)-5-acetamido-3,4-dihydroxy-6-methyloxan-2-yl]oxy-6-[(2R,3S,4R,5R,6R)-5-acetamido-4-hydroxy-2-(hydroxymethyl)-6-[oxido-[oxido-[(2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E,38E)-3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy]phosphoryl]oxyphosphoryl]oxyoxan-3-yl]oxy-4-hydroxyoxane-2-carboxylate
C1=C([N+](=CN1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])[O-])O)O)N	[Compound(44229244)]	[(2R,3S,4R,5R)-5-(4-amino-1H-imidazol-3-ium-3-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate
COC1=CC2=C(CCNCCC3=CC(=C(C=C32)OC)OC)C=C1	[Compound(442309)]	4,5,16-trimethoxy-10-azatricyclo[11.4.0.02,7]heptadeca-1(13),2,4,6,14,16-hexaene
C=C[C@]12C[C@@H]([C@@H]3[C@@H]([C@H]1C(=C)C(=O)OC2)OC(=O)C3=C)O	[Compound(442322)]	(3aR,4S,5aR,9aR,9bR)-5a-ethenyl-4-hydroxy-3,9-dimethylidene-3a,4,5,6,9a,9b-hexahydrofuro[2,3-f]isochromene-2,8-dione
C[C@H]([C@@H](C(=O)N[C@@H](CC(=O)N)C(=O)O)N)O	[Compound(44232358)]	(2S)-4-amino-2-[[(2S,3R)-2-amino-3-hydroxybutanoyl]amino]-4-oxobutanoic acid
CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](CCC(=O)N)N	[Compound(44232492)]	(2S)-2-[[(2S)-2,5-diamino-5-oxopentanoyl]amino]-4-methylpentanoic acid
C[C@@]1([C@@H]2[C@@H]3C[C@@H]4C[C@@]2(C=CC1=O)[C@H]([C@@]4(O3)C)O)CCC(=O)OC	[Compound(44233476)]	methyl 3-[(1S,5S,6R,7S,9R,10S,12R)-12-hydroxy-5,9-dimethyl-4-oxo-8-oxatetracyclo[7.2.1.17,10.01,6]tridec-2-en-5-yl]propanoate
C[C@@H]1C2=C(C(=C(C=C2CCN1C)OC)OC)O	[Compound(442336)]	(1R)-6,7-dimethoxy-1,2-dimethyl-3,4-dihydro-1H-isoquinolin-8-ol
CN1CCC2=CC3=C(C4=C2[C@H]1CC5=C4C(=CC=C5)O)OCO3	[Compound(442340)]	(12R)-11-methyl-3,5-dioxa-11-azapentacyclo[10.7.1.02,6.08,20.014,19]icosa-1(20),2(6),7,14(19),15,17-hexaen-18-ol
COC1=C(C(=C(C=C1)C(=O)C2=NC=CC3=CC4=C(C=C32)OCO4)O)OC	[Compound(442350)]	[1,3]dioxolo[4,5-g]isoquinolin-5-yl-(2-hydroxy-3,4-dimethoxyphenyl)methanone
CC1=CC[C@@]2(CC1)C(=C)CCCC2(C)C	[Compound(442353)]	(6R)-5,5,9-trimethyl-1-methylidenespiro[5.5]undec-9-ene
CC1=C(C=C(C=C1)NC(=O)C)C(=O)N[C@H](C)C2=CC=CC3=CC=CC=C32	[Compound(44235889)]	5-acetamido-2-methyl-N-[(1R)-1-naphthalen-1-ylethyl]benzamide
CC1=C(C=CC2=C1O[C@@H](CC2)C3=CC=C(C=C3)O)O	[Compound(442361)]	(2S)-2-(4-hydroxyphenyl)-8-methyl-3,4-dihydro-2H-chromen-7-ol
CC(C)[C@H]1CC[C@]2([C@]13CC[C@](O3)([C@H](C2)O)C)C	[Compound(442363)]	(1S,2R,5R,7S,8S)-5,8-dimethyl-2-propan-2-yl-11-oxatricyclo[6.2.1.01,5]undecan-7-ol
CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC(=C(C=C4)OC)OC5=CC=C(C[C@H]6C7=CC(=C(C(=C7CCN6C)O3)O)OC)C=C5)OC	[Compound(442366)]	(12S,25S)-5,20,31-trimethoxy-11,26-dimethyl-2,18-dioxa-11,26-diazaheptacyclo[23.6.2.214,17.119,23.03,8.07,12.029,33]hexatriaconta-1(31),3(8),4,6,14(36),15,17(35),19,21,23(34),29,32-dodecaen-4-ol
C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)OS(=O)(=O)[O-])I)I)CC(C(=O)[O-])[NH3+]	[Compound(44237187)]	2-azaniumyl-3-[4-(3,5-diiodo-4-sulfonatooxyphenoxy)-3,5-diiodophenyl]propanoate
C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)OS(=O)(=O)O)I)I)CC(C(=O)O)N	[Compound(44237188)]	2-amino-3-[4-(3,5-diiodo-4-sulfooxyphenoxy)-3,5-diiodophenyl]propanoic acid
C1C[C@]2([C@H]([C@H](C(O2)O)O)O)C3=C(C1=O)C=C(C=C3)C(=O)O	[Compound(44237194)]	(3'S,4'R,5R)-3',4',5'-trihydroxy-8-oxospiro[6,7-dihydronaphthalene-5,2'-oxolane]-2-carboxylic acid
CSCCCC(C(C(=O)[O-])O)C(=O)[O-]	[Compound(44237292)]	2-hydroxy-3-(3-methylsulfanylpropyl)butanedioate
CSCCCC(C(C(=O)O)O)C(=O)O	[Compound(44237293)]	2-hydroxy-3-(3-methylsulfanylpropyl)butanedioic acid
C([C@@H](C(=O)[O-])[NH3+])C(=O)NO	[Compound(44237312)]	(2S)-2-azaniumyl-4-(hydroxyamino)-4-oxobutanoate
[C@H]1([C@H](C([C@@H]([C@@H](C1OP(=O)([O-])[O-])OP(=O)([O-])[O-])OP(=O)([O-])[O-])OP(=O)([O-])OP(=O)([O-])[O-])OP(=O)([O-])[O-])OP(=O)([O-])[O-]	[Compound(44237379)]	[oxido-[(2R,3S,5R,6R)-2,3,4,5,6-pentaphosphonatooxycyclohexyl]oxyphosphoryl] phosphate
CC(=O)OCCCC1=CC2=C(C=C1)OC(=C2)C3=CC4=C(C=C3)OCO4	[Compound(44237572)]	3-[2-(1,3-benzodioxol-5-yl)-1-benzofuran-5-yl]propyl acetate
C[C@H]1CCC[C@]2([C@@]1(CC3=C(C2)OC=C3C)C)O	[Compound(442401)]	(4aR,5S,8aS)-3,4a,5-trimethyl-4,5,6,7,8,9-hexahydrobenzo[f][1]benzofuran-8a-ol
CC1=CC[C@@]2(CCCC([C@]23[C@H]1C3)(C)C)C	[Compound(442402)]	(1aS,4aS,8aS)-2,4a,8,8-tetramethyl-1,1a,4,5,6,7-hexahydrocyclopropa[j]naphthalene
CC1=C[C@@H]2[C@](CC1)([C@]3([C@@H](C[C@H]([C@]34CO4)O2)OC(=O)C)C)C	[Compound(442403)]	[(1S,2R,7R,9R,11R,12R)-1,2,5-trimethylspiro[8-oxatricyclo[7.2.1.02,7]dodec-5-ene-12,2'-oxirane]-11-yl] acetate
CC1=CCC2C3C1[C@]2(CCC3C(C)C)C	[Compound(442409)]	(1S)-1,3-dimethyl-8-propan-2-yltricyclo[4.4.0.02,7]dec-3-ene
C[C@]1(CC2=C3C=C(C(=O)[C@@H]([C@]3([C@H]4[C@@H]2C4)C)O)[C@](CC5=C6C=C1C(=O)[C@@H]([C@]6([C@H]7[C@@H]5C7)C)O)(C)C(=O)OC)C(=O)OC	[Compound(44240915)]	dimethyl (2R,5S,7R,8S,12R,15S,17R,18S,19R,24R)-19,24-dihydroxy-2,8,12,18-tetramethyl-20,23-dioxoheptacyclo[12.6.2.28,11.04,9.05,7.015,17.018,22]tetracosa-1(21),4(9),10,14(22)-tetraene-2,12-dicarboxylate
CC(=CCC1=C2C(=C(C=C1O)O)C(=O)[C@@H]([C@H](O2)C3=CC=CC=C3)O)C	[Compound(442411)]	(2R,3R)-3,5,7-trihydroxy-8-(3-methylbut-2-enyl)-2-phenyl-2,3-dihydrochromen-4-one
C1CC2=C(C=C(C=C2)O)O[C@@H]1C3=CC=CC=C3	[Compound(442413)]	(2S)-2-phenyl-3,4-dihydro-2H-chromen-7-ol
C[C@@]12[C@H]3[C@@H](OC=C[C@]3([C@@H]([C@@H]1O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O	[Compound(442418)]	(2S,3R,4S,5S,6R)-2-[[(1S,2R,4S,5R,6S,10S)-5,6-dihydroxy-2-methyl-3,9-dioxatricyclo[4.4.0.02,4]dec-7-en-10-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol
C[C@H]1CC[C@@H]([C@@H]1C=O)[C@@H](C)C=O	[Compound(442426)]	(1R,2S,5R)-2-methyl-5-[(2R)-1-oxopropan-2-yl]cyclopentane-1-carbaldehyde
C[C@H]1CC[C@H]2[C@H]1C(=O)OC=C2C	[Compound(442430)]	(4aS,7S,7aS)-4,7-dimethyl-5,6,7,7a-tetrahydro-4aH-cyclopenta[c]pyran-1-one
CSC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O	[Compound(442432)]	[(4S,7S,8S,11S)-2-oxo-8-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,9-dioxatricyclo[5.3.1.04,11]undeca-1(10),5-dien-6-yl]methyl methylsulfanylformate
CC(C)CC(=O)O[C@H]1C=C2[C@@H]([C@@]13CO3)[C@@H](OC=C2COC(=O)C)OC(=O)CC(C)C	[Compound(442436)]	[(1S,6S,7R,7aS)-4-(acetyloxymethyl)-1-(3-methylbutanoyloxy)spiro[6,7a-dihydro-1H-cyclopenta[c]pyran-7,2'-oxirane]-6-yl] 3-methylbutanoate
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)CO)O)O)O)O)O	[Compound(442439)]	(2S)-7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-2,3-dihydrochromen-4-one
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCN)OC(=O)CCCCCCCCCCCCCCC)O)OC(=O)CCCCCCCCCCCCCCC	[Compound(44244678)]	[(2R)-3-[[(2S)-3-[[(2R)-3-(12-aminododecanoyloxy)-2-hexadecanoyloxypropoxy]-hydroxyphosphoryl]oxy-2-hydroxypropoxy]-hydroxyphosphoryl]oxy-2-hexadecanoyloxypropyl] hexadecanoate
C[C@@H]1C[C@H]2CC(=O)[C@@H]3C[C@H]2[C@H](C1)N(C3)C	[Compound(442480)]	(1R,4S,6R,8S,9R)-3,6-dimethyl-3-azatricyclo[6.2.2.04,9]dodecan-11-one
C(CCCC/C=C/C(=O)O)CCCCO	[Compound(44248253)]	(E)-12-hydroxydodec-2-enoic acid
CC(C)[C@@H]1CCC(=C)C=C1	[Compound(442484)]	(6S)-3-methylidene-6-propan-2-ylcyclohexene
C[N+](C)(C)CCOP(=O)([O-])OCCCCCC(=O)O	[Compound(44248626)]	5-carboxypentyl 2-(trimethylazaniumyl)ethyl phosphate
CC1=CC(=O)[C@]23C[C@@H]4CN(CC[C@@H]4[C@H]2[C@H](C[C@@H]3C1)O)C	[Compound(442489)]	(1S,3S,8S,9R,10S,12S)-10-hydroxy-5,14-dimethyl-5-azatetracyclo[7.7.0.01,12.03,8]hexadec-14-en-16-one
C[C@@H]1C[C@H]2CC3=N[C@@H](CC[C@@]3([C@@H]4C[C@H]2[C@H](C1)N(C4)C)O)C[C@H]5C[C@@H](C[C@@H]6[C@H]5CCCN6C(=O)C)C	[Compound(442493)]	1-[(4aS,5R,7S,8aR)-5-[[(1R,2S,5S,9S,11R,13S,17R)-2-hydroxy-11,14-dimethyl-6,14-diazatetracyclo[7.6.2.02,7.013,17]heptadec-6-en-5-yl]methyl]-7-methyl-3,4,4a,5,6,7,8,8a-octahydro-2H-quinolin-1-yl]ethanone
C[C@@H]1C[C@H]([C@H]2CCCN[C@@H]2C1)C[C@@H]3CCCCN3	[Compound(442494)]	(4aR,5S,7R,8aR)-7-methyl-5-[[(2S)-piperidin-2-yl]methyl]-1,2,3,4,4a,5,6,7,8,8a-decahydroquinoline
CC(=C1CC[C@]2([C@@H](C1=O)O2)C)C	[Compound(442497)]	(1S,6S)-6-methyl-3-propan-2-ylidene-7-oxabicyclo[4.1.0]heptan-2-one
CC[C@H](C)/C=C/C1=CC2=C(C(=O)[C@@]3([C@H](C2=CO1)[C@@H](C(=O)O3)C(=O)/C(=C/C)/C)C)Cl	[Compound(44250068)]	(6aS,9R,9aS)-5-chloro-6a-methyl-9-[(E)-2-methylbut-2-enoyl]-3-[(E,3S)-3-methylpent-1-enyl]-9,9a-dihydrofuro[2,3-h]isochromene-6,8-dione
C[C@@H]1C[C@H]2C[C@]3([C@@H]4C[C@H]2[C@H](C1)N(C4)C)C(=O)CC[C@@H](N3)C[C@H]5C[C@@H](C[C@H]6[C@@H]5CCCN6C(=O)C)C	[Compound(442502)]	(1R,4S,6R,6'R,8S,9R,11S)-6'-[[(4aR,5R,7S,8aS)-1-acetyl-7-methyl-3,4,4a,5,6,7,8,8a-octahydro-2H-quinolin-5-yl]methyl]-3,6-dimethylspiro[3-azatricyclo[6.2.2.04,9]dodecane-11,2'-piperidine]-3'-one
COC1=CC(=CC(=C1O)OC)C2=CC=CC=C2	[Compound(442508)]	2,6-dimethoxy-4-phenylphenol
CC1=C(C2=C(C=C1O)O[C@@H](CC2=O)C3=CC=CC=C3)O	[Compound(442520)]	(2S)-5,7-dihydroxy-6-methyl-2-phenyl-2,3-dihydrochromen-4-one
C[C@H]1CC[C@H]2[C@@H](CC[C@H](N2C1)C3=COC=C3)C	[Compound(442525)]	(1R,4S,7S,9aS)-4-(furan-3-yl)-1,7-dimethyl-2,3,4,6,7,8,9,9a-octahydro-1H-quinolizine
COC1=C(C=CC(=C1)N2CCOCC2)NC3=NC=C(C(=N3)NC4=CC=CC=C4NS(=O)(=O)C)Cl	[Compound(44252734)]	N-[2-[[5-chloro-2-(2-methoxy-4-morpholin-4-ylanilino)pyrimidin-4-yl]amino]phenyl]methanesulfonamide
C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)Cl	[Compound(442530)]	(2S)-2-[[(3R)-5-chloro-8-hydroxy-3-methyl-1-oxo-3,4-dihydroisochromene-7-carbonyl]amino]-3-phenylpropanoic acid
CC(=O)O[C@@H]1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O	[Compound(442540)]	[(2R,3R)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-2,3-dihydrochromen-3-yl] acetate
C[C@H]1C/C=C/[C@H]2C=C([C@H]([C@@H]3[C@]2(C(=O)N[C@H]3CC4=CC=CC=C4)OC(=O)O/C=C/[C@@H](C1=O)C)C)C	[Compound(44255028)]	(1R,5E,7S,9S,11E,13S,16S,17S,18S)-18-benzyl-7,9,15,16-tetramethyl-2,4-dioxa-19-azatricyclo[11.7.0.01,17]icosa-5,11,14-triene-3,8,20-trione
C[C@H]1CC[C@H]2[C@H]1CN(C[C@H]2C)C	[Compound(442552)]	(4S,4aR,7S,7aS)-2,4,7-trimethyl-1,3,4,4a,5,6,7,7a-octahydrocyclopenta[c]pyridine
CC(=O)OC[C@]12[C@@H]([C@@H]([C@@H]3[C@H]([C@]14[C@@]([C@H]([C@@H]([C@@H]2OC(=O)C)OC(=O)C5=CC=CC=C5)OC(=O)C(CCC6=C(C=CC=N6)C(=O)OC[C@@]3(O4)C)(C)O)(C)O)OC(=O)C)OC(=O)C)OC(=O)C	[Compound(442556)]	[(1S,3R,18S,19R,20R,21R,22S,23R,24R,25R,26S)-20,22,23,25-tetraacetyloxy-21-(acetyloxymethyl)-15,26-dihydroxy-3,15,26-trimethyl-6,16-dioxo-2,5,17-trioxa-11-azapentacyclo[16.7.1.01,21.03,24.07,12]hexacosa-7(12),8,10-trien-19-yl] benzoate
CC1[C@@H](C([C@@H]([C@@H](O1)O[C@H]2CC3=C(C=C(C=C3O[C@@H]2C4=CC(=C(C=C4)O)O)O)O)O)O)O	[Compound(44257078)]	(2S,3S,5R)-2-[[(2R,3S)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-chromen-3-yl]oxy]-6-methyloxane-3,4,5-triol
CCC1C(C(C2C(O1)OC3=C(C(=C(C4=C3C(O2)C[C@@H](O4)C5=CC=C(C=C5)OC)C)O)C)O)O	[Compound(44257136)]	(12R)-5-ethyl-12-(4-methoxyphenyl)-15,17-dimethyl-2,4,9,13-tetraoxatetracyclo[8.7.1.03,8.014,18]octadeca-1(17),14(18),15-triene-6,7,16-triol
CC(=CCC1=C(C2=C(C=C1O)OC=C(C2=O)C3=CC(=C(C=C3OC)O)OC)O)C	[Compound(44257314)]	5,7-dihydroxy-3-(4-hydroxy-2,5-dimethoxyphenyl)-6-(3-methylbut-2-enyl)chromen-4-one
COC1=C(C(=C(C2=C1C(=O)C(=CO2)C3=CC4=C(C=C3)OCO4)OC)OC)OC	[Compound(44257375)]	3-(1,3-benzodioxol-5-yl)-5,6,7,8-tetramethoxychromen-4-one
CC(=CCC1=CC(=C(C=C1OC)O)C2COC3=C(C2=O)C(=C(C(=C3)O)CC=C(C)C)O)C	[Compound(44257387)]	5,7-dihydroxy-3-[2-hydroxy-4-methoxy-5-(3-methylbut-2-enyl)phenyl]-6-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one
COC1=CC(=O)C(=CC1=O)[C@@H](C=C)C2=CC=C(C=C2)O	[Compound(44257558)]	2-[(1S)-1-(4-hydroxyphenyl)prop-2-enyl]-5-methoxycyclohexa-2,5-diene-1,4-dione
CC(=O)OC1=CC(=C(C=C1)O)C2=CC(=O)C3=CC=CC=C3O2	[Compound(44257596)]	[4-hydroxy-3-(4-oxochromen-2-yl)phenyl] acetate
C1[C@@H]([C@@H]([C@H]([C@@H](O1)C2=C3C(=C(C(=C2O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)C(=O)C=C(O3)C5=CC(=C(C=C5)O)O)O)O)O	[Compound(442584)]	2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-8-[(2S,3R,4S,5S)-3,4,5-trihydroxyoxan-2-yl]chromen-4-one
CC(=CCC1=C(C2=C3C(CC4=C2OC5=CC(=CC(=C5C4=O)O)O)C(OC3=C1O)(C)C)O)C	[Compound(44258663)]	6,8,17,19-tetrahydroxy-14,14-dimethyl-18-(3-methylbut-2-enyl)-3,15-dioxapentacyclo[11.6.1.02,11.04,9.016,20]icosa-1(20),2(11),4,6,8,16,18-heptaen-10-one
COC1=C(C=C(C=C1O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC)O	[Compound(44259718)]	2-(3,5-dihydroxy-4-methoxyphenyl)-5,7-dihydroxy-3-methoxychromen-4-one
COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C4=C(C=C3O2)OCO4)O)OC)O	[Compound(44259873)]	9-hydroxy-6-(4-hydroxy-3-methoxyphenyl)-7-methoxy-[1,3]dioxolo[4,5-g]chromen-8-one
COC1=C(OC2=CC(=C(C(=C2C1=O)O)O)OS(=O)(=O)O)C3=CC(=C(C=C3)O)O	[Compound(44259875)]	[2-(3,4-dihydroxyphenyl)-5,6-dihydroxy-3-methoxy-4-oxochromen-7-yl] hydrogen sulfate
COC1=CC=C(C=C1)C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)O)O	[Compound(44259966)]	3,5,7,8-tetrahydroxy-2-(4-methoxyphenyl)chromen-4-one
CCCCCCCCCCCCC/C=C/[C@H]([C@H](COP(=O)([O-])OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCCCCC/C=C\CCCCCCCC)O	[Compound(44260128)]	[(E,2S,3R)-2-[[(Z)-hexacos-17-enoyl]amino]-3-hydroxyoctadec-4-enyl] 2-(trimethylazaniumyl)ethyl phosphate
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(C(=C3C(=C2)OC(=CC3=O)C4=CC(=C(C=C4)O)O)O)OC)O)O)O	[Compound(442617)]	2-(3,4-dihydroxyphenyl)-5-hydroxy-6-methoxy-7-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one
CC(=O)N1CCCC(=C1)[C@H]2CCCCN2	[Compound(442625)]	1-[5-[(2R)-piperidin-2-yl]-3,4-dihydro-2H-pyridin-1-yl]ethanone
C[C@H]1[C@@H]2CC[C@H](N1)CCCCCCCC(=O)O[C@H]3CC[C@@H](CCCCCCCC(=O)O2)N[C@H]3C	[Compound(442630)]	(1S,11R,13S,14S,24R,26S)-13,26-dimethyl-2,15-dioxa-12,25-diazatricyclo[22.2.2.211,14]triacontane-3,16-dione
C[C@@H]1[C@H]([C@@H]([C@H](N1C)C2=CC(=C(C=C2)OC)OC)O)O	[Compound(442631)]	(2R,3R,4R,5R)-2-(3,4-dimethoxyphenyl)-1,5-dimethylpyrrolidine-3,4-diol
